Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60780.1,-7.445942,29.90724,-2.391905,35.49459,-0.04866802,1,0.1778484,60.69456,4.55557,0,0
60780.2,-23.22962,27.34239,-3.248748,31.27029,-0.04749389,1,0.1642973,60.69456,4.55557,0,0
60780.3,30.07106,27.34239,-3.248748,31.27029,-0.04749389,1,0.1642973,64.70104,4.55557,1,0
60780.4,-19.17231,24.12742,-4.52852,22.40969,-0.04763654,1,0.137195,72.71402,4.55557,0,0
60780.5,-8.781318,24.12742,-4.52852,22.40969,-0.04763654,1,0.137195,72.71402,4.55557,0,0
60780.6,-20.14317,24.23714,-6.648656,12.401,-0.04603445,1,0.02878585,72.71402,4.55557,0,0
60780.7,-0.8863366,24.23714,-6.648656,12.401,-0.04603445,1,0.02878585,72.71402,4.55557,0,0
60780.8,-7.374451,26.29177,-6.687104,7.896537,-0.04945808,1,0.001683569,72.71402,4.55557,0,0
60780.9,-16.72901,26.29177,-6.687104,7.896537,-0.04945808,1,0.001683569,72.71402,4.55557,0,0
60781,-0.02048753,26.20947,-2.979611,7.74822,-0.06067267,1,-0.01186757,72.71402,4.55557,0,0
60781.1,25.15372,26.20947,-2.979611,7.74822,-0.06067267,1,-0.01186757,72.71402,4.55557,0,0
60781.2,104.6243,24.92019,-1.760258,4.88624,-0.05983871,0.8888889,-0.052521,74.5557,4.55557,1,0
60781.3,118.3364,24.92019,-1.760258,4.88624,-0.05983871,0.8888889,-0.052521,78.23905,4.55557,0,0
60781.4,114.9157,26.52493,-3.798006,-0.5850305,-0.04025159,0.6666667,-0.09317443,78.23905,4.55557,0,0
60781.5,113.68,26.52493,-3.798006,-0.5850305,-0.04025159,0.6666667,-0.09317443,78.23905,4.55557,0,1
60781.6,97.49827,28.19277,-3.776036,-4.825814,-0.0403284,0.3333333,-0.1067256,78.23905,14.34369,0,0
60781.7,40.99145,28.19277,-3.776036,-4.825814,-0.0403284,0.3333333,-0.1067256,78.23905,33.91994,0,0
